B,pet_name,pet_type,breed,age,weight,color,birth_date,owner_name,owner_email,owner_address,owner_city,owner_state,owner_country,owner_postal_code,vaccinated,neutered,microchip_id,vet_name,vet_phone,groomer_name,groomer_phone,food_brand,food_quantity,food_frequency,exercise_duration,exercise_frequency,sleep_duration,temperament,favorite_toy,favorite_treat,grooming_needs
1,Gardener,rabbit,Parakeet,15,76.5,orange,3/3/2015,Gardener Foucar,gsowood0@va.gov,24499 Stone Corner Alley,Yataity del Norte,,Paraguay,,false,false,3669548093,Gardener Killingbeck,489-803-1302,Gardener Sowood,794-553-0197,Royal Canin,2.43,three times a day,119.7,daily,17.3,energetic,chew toy,catnip,low
2,Ruthe,rabbit,Labrador Retriever,10,40.6,black,4/14/2002,Ruthe Birts,rclewlowe1@indiegogo.com,0578 Corry Lane,La Mohammedia,,Tunisia,,false,true,7290686791,Ruthe Grodden,515-228-5288,Ruthe Clewlowe,654-264-4605,Iams,1.29,twice a day,71.6,daily,7,shy,chew toy,dog biscuit,high
3,Benedetta,dog,Parakeet,0,53.2,brown,8/9/2022,Benedetta Cramond,bphlippi2@ted.com,74 Swallow Hill,Tourcoing,Nord-Pas-de-Calais,France,59339 CEDEX,false,true,6408767287,Benedetta Count,116-615-7838,Benedetta Phlippi,969-354-2075,Purina,3.49,once a day,35.5,weekly,9,shy,stuffed animal,dog biscuit,high
4,Darrin,fish,Goldfish,12,16.9,brown,2/21/2009,Darrin Orneles,drising3@disqus.com,958 Dryden Lane,Baiquan,,China,,false,true,1476381367,Darrin Witherby,612-606-3660,Darrin Rising,881-152-6647,Purina,4.47,three times a day,27.2,daily,23,shy,chew toy,carrot,low
5,Magdalene,bird,Labrador Retriever,2,71.1,white,6/4/2020,Magdalene Trattles,mcayley4@google.com.br,3 Debs Park,Cotuí,,Dominican Republic,10516,false,true,8350862963,Magdalene Doucette,686-105-6421,Magdalene Cayley,377-583-5033,Iams,0.35,three times a day,119.4,3 times a week,22.9,friendly,laser pointer,dog biscuit,low
6,Orton,rabbit,Parakeet,1,20.3,orange,11/22/2017,Orton Verry,omarcinkus5@bbb.org,6 Prentice Avenue,Dalgān,,Iran,,true,true,8592140021,Orton Beadham,700-150-7067,Orton Marcinkus,852-399-6421,Royal Canin,8.59,twice a day,115.3,daily,11.7,shy,laser pointer,carrot,high
7,Vergil,dog,Goldfish,14,84.3,brown,7/29/2005,Vergil MacAleese,vzavattero6@nasa.gov,2 Anderson Circle,Pimentel,,Dominican Republic,11201,true,true,1510804351,Vergil Whyborn,976-598-7364,Vergil Zavattero,594-258-0529,Iams,2.24,three times a day,57.1,3 times a week,0,energetic,ball,dog biscuit,low
8,Adelaida,fish,Siamese,14,48.4,gray,4/24/2001,Adelaida Winter,abrewer7@instagram.com,57 Sunnyside Trail,Jacaltenango,,Guatemala,13007,true,false,5012386009,Adelaida Senner,853-226-8348,Adelaida Brewer,191-263-1265,Iams,2.05,once a day,72,daily,9,playful,laser pointer,fish flakes,moderate
9,Jaynell,cat,Parakeet,15,31.3,black,3/26/2003,Jaynell Malamore,jmaria8@umn.edu,9984 Caliangt Avenue,Huogezhuang,,China,,false,true,3212712070,Jaynell Bausor,416-421-3543,Jaynell Maria,375-710-6713,Royal Canin,8.85,once a day,6.2,daily,16.6,friendly,ball,dog biscuit,moderate
10,Fredi,cat,Holland Lop,14,94.9,orange,8/5/2000,Fredi Colten,faston9@china.com.cn,677 Milwaukee Point,Mugango,,Tanzania,,false,true,6175077672,Fredi Denington,144-237-7540,Fredi Aston,281-577-6728,Hill's Science Diet,3.68,once a day,99.9,3 times a week,23.5,energetic,chew toy,bird seed,low
11,Constancia,bird,Parakeet,17,20,brown,7/11/2018,Constancia Agglio,cmadocjonesa@ibm.com,698 Westridge Road,Genet,,Ethiopia,,false,false,2114725393,Constancia McWaters,688-886-7084,Constancia Madoc-Jones,477-530-7751,Iams,7.4,once a day,78.2,3 times a week,19.6,playful,stuffed animal,dog biscuit,moderate
