id,secure_code,airline,departure_city,departure_date,arrival_airport,arrival_city,arrival_time,passenger_name,passenger_gender,seat_number,currency,departure_gate,flight_status,co_pilot_name,aircraft_type,fuel_consumption
3001,01H4EEMVMVDV5SDHPRD1TXSFAD,United,Lewograran,4/2/2022,BGO,Čajniče,6/7/2023 05:14,Paquito Molan,Male,C3,IDR,B2,Delayed,Jud Goldspink,Boeing 737,1140.93
3002,01H4EEMVMYRMKR5RYM7TWRTEMW,United,Capitão Poço,26/3/2022,AUU,Llauta,6/7/2023 15:33,Otis Izkovici,Male,C3,BRL,C3,Delayed,Dougie Hendron,Boeing 737,9927.09
3003,01H4EEMVN126AAKF6FGDZPH1B9,United,Enzan,25/10/2022,GIS,Kil’mez’,6/7/2023 13:40,Xena Georgins,Female,A1,JPY,C3,Delayed,Ketti Domini,Boeing 737,3519.36
3004,01H4EEMVN4BA0PYWXBBDH944HX,United,Phitsanulok,17/8/2022,TEN,Thala,6/7/2023 01:14,Corrie Maken,Female,A1,THB,C3,Delayed,Loretta Wellesley,Boeing 737,6988.0
3005,01H4EEMVN79C0X9KZECD9D3X01,United,Changxing,28/10/2022,BCM,Zhaixi,6/7/2023 17:58,Jarred Shoesmith,Male,C3,CNY,C3,Delayed,Maximilien Windham,Boeing 737,5603.39
3006,01H4EEMVNANRMJPN7C74FSB6J8,Delta,Biny Selo,2/11/2022,AIV,Rama,6/7/2023 08:03,Anni Barbery,Female,B2,AZN,C3,Cancelled,Matelda Alldritt,Boeing 737,3152.84
3007,01H4EEMVND8FZCEX203E0F5PB9,American,Saijō,21/5/2022,SHK,Erdaocha,6/7/2023 20:26,Lonny Stickels,Male,B2,JPY,C3,On Time,Mitchael Boteman,Boeing 737,4737.05
3008,01H4EEMVNFF0G20ZKHXRS6TXE6,United,Uthal,1/8/2022,MDY,Skoura,6/7/2023 02:48,Ragnar Wais,Male,C3,PKR,A1,Cancelled,Jamesy Rickerby,Airbus A320,6080.46
3009,01H4EEMVNJ9EHNKWNP1GHJASAQ,Delta,Baolong,27/1/2022,PUX,Yelan’,6/7/2023 07:28,Bryant Cropton,Male,A1,CNY,B2,Delayed,Erick Readhead,Boeing 737,7073.32
3010,01H4EEMVNNWKJM9QVCJTZWQYRZ,United,Prosperidad,19/12/2022,AQP,Yên Bái,6/7/2023 13:36,Kalvin Bow,Male,A1,PHP,C3,Cancelled,Pietrek Playden,Airbus A320,5665.73
3011,01H4EEMVNR8W9ZGAE2GDRZBMH1,Delta,Taikang,21/9/2022,RZA,Haumeni,6/7/2023 02:15,Lyn Kittle,Female,C3,CNY,C3,Cancelled,Bibi Carik,Embraer E190,6803.72
