id,secure_code,airline,departure_city,departure_date,arrival_airport,arrival_city,arrival_time,passenger_name,passenger_gender,seat_number,currency,departure_gate,flight_status,co_pilot_name,aircraft_type,fuel_consumption
1001,01H4EEMMVYAY9VQREC3J9PBQGN,American,Nakhon Nayok,2/11/2022,CUI,Bromma,6/7/2023 08:54,Murielle Raulin,Genderfluid,A1,THB,B2,Cancelled,Kelbee Franzman,Boeing 737,8950.14
1002,01H4EEMMW1YT1DA0SAMQHR01QG,Delta,Ulaan-Uul,7/12/2022,RGS,Xiaozhai,6/7/2023 04:47,Meris Katte,Female,B2,MNT,A1,On Time,Anna-diana Shillito,Embraer E190,6007.32
1003,01H4EEMMW7ZA8JA1T73J156F4P,Delta,Kuala Lumpur,30/9/2022,ENV,Mólos,6/7/2023 00:38,Amber Sheber,Female,C3,MYR,C3,On Time,Courtenay Salters,Embraer E190,3601.69
1004,01H4EEMMWCBCMSN1W940BW34PX,United,Baltasar Brum,17/7/2022,NHD,Ciudad Sandino,6/7/2023 08:35,Konstantine McFetrich,Male,A1,UYU,A1,Delayed,Jaimie D'Cruze,Embraer E190,9653.98
1005,01H4EEMMWJTDDHW8YJHSC56CM6,United,Paucarcolla,1/10/2022,VDS,Beltinci,6/7/2023 23:19,Lulita Penhale,Female,A1,PEN,B2,Cancelled,Valry Bixley,Boeing 737,8869.95
1006,01H4EEMMWQSX2RHG4AM8A85N0W,Delta,Anding,14/8/2022,RZZ,Zhuyeping,6/7/2023 00:00,Branden Hugnin,Male,B2,CNY,C3,On Time,Skipton Sammon,Embraer E190,8116.37
1007,01H4EEMMWXSGWXTJ8F0H10P6BA,American,Sihanoukville,6/8/2022,TPQ,Bandhagen,6/7/2023 03:42,Zilvia Pickrell,Female,A1,KHR,B2,Delayed,Kandace Do,Boeing 737,3947.15
1008,01H4EEMMX2E1ENFMNCMBTBDCFM,American,Itiruçu,31/3/2022,MAP,Daliu,6/7/2023 15:22,Allyson Devaney,Female,A1,BRL,C3,Delayed,Remy Bonnick,Airbus A320,1102.01
1009,01H4EEMMX65CZSPES8YWKM8VHW,Delta,Montréal-Ouest,23/1/2022,THM,Gaspar Hernández,6/7/2023 00:32,Zacharias Boagey,Male,A1,CAD,A1,Delayed,Dagny Pipping,Boeing 737,5779.58
1010,01H4EEMMX9JMTD9AGNFMBX22MA,Delta,Nara,3/10/2022,MVT,Ugba,6/7/2023 03:48,Budd Schneidau,Male,B2,XOF,B2,Delayed,Tybalt Clarricoates,Boeing 737,1311.62
1011,01H4EEMMXCJPG909BWNK8KFQAH,Delta,Pandak,7/5/2022,XIN,Dijon,6/7/2023 05:54,Erskine Rodman,Male,B2,IDR,A1,Delayed,Lenard Andreutti,Boeing 737,4267.26
1012,01H4EEMMXFP26SZSDGYVJFAAHW,Delta,Paris 10,14/11/2022,SHR,Barbalha,6/7/2023 16:55,Tish Grills,Female,C3,EUR,B2,Delayed,Ag Ash,Airbus A320,4081.97
1013,01H4EEMMXJT24WGPMB59QMFHPZ,United,Nanxindian,10/8/2022,YFG,Piru,6/7/2023 20:49,Jared Seldon,Male,A1,CNY,B2,Cancelled,Neil Laye,Embraer E190,5001.06
1014,01H4EEMMXN9PVFGSPQPXZACVP4,United,Bulahblangaro,17/3/2022,JHL,Gračanica,6/7/2023 20:45,Giacobo Trappe,Male,C3,IDR,A1,Delayed,Brandy Elwin,Embraer E190,5399.15
1015,01H4EEMMXQW35SA18V9YCVGQ38,American,Sigavé,27/1/2022,YGC,Pampanito,6/7/2023 09:34,Harriot Fodden,Female,A1,XPF,A1,On Time,Tori Mapholm,Boeing 737,1550.71
1016,01H4EEMMXTKFV0WD65T8AZ1PB6,Delta,Ḏânan,22/6/2022,EMA,Washington,6/7/2023 01:13,Heida Cousen,Female,B2,DJF,A1,On Time,Mame Kirkbright,Airbus A320,6828.06
1017,01H4EEMMXY6BZ2E9AGMMS2NNZG,United,Vila Maior,9/8/2022,YXZ,Kaum,6/7/2023 11:53,Barri Tower,Male,B2,EUR,A1,Cancelled,Thatch Whatmough,Boeing 737,7170.89
1018,01H4EEMMY2N98Z4WE7Z188MS86,American,Zhangzhu,15/11/2022,KOK,Širvintos,6/7/2023 00:17,Lana Hawton,Female,A1,CNY,B2,On Time,Drusilla Denney,Embraer E190,2462.14
1019,01H4EEMMY60MBFAVHKE0DN3FWK,Delta,Dubrava,15/7/2022,OMM,Mnelalete,6/7/2023 06:30,Merry MacGoun,Female,A1,HRK,A1,Delayed,Lindie Dungay,Boeing 737,3735.49
1020,01H4EEMMY9XP71MGH2Y6N8D5RW,Delta,Māymay,6/11/2022,SHS,Yancheng,6/7/2023 05:38,Fields Yedall,Non-binary,C3,AFN,A1,Delayed,Aldwin Faivre,Airbus A320,8037.25
1021,01H4EEMMYD3KAHH7X3CK76XHW1,United,Dugulubgey,4/9/2022,KSH,Khōst,6/7/2023 13:45,Bellina Pierrepont,Female,B2,RUB,B2,On Time,Willetta Matteuzzi,Airbus A320,9823.17
