flight_id,flight_number,departure_airport,departure_country,departure_time,arrival_country,arrival_date,flight_duration,passenger_age,passenger_nationality,ticket_price,baggage_weight,arrival_gate,pilot_name,cabin_crew_count,aircraft_registration,flight_distance
1001,776,GTS,Thailand,6/7/2023 02:21,Sweden,29/4/2022,6.51,19,Poland,568.46,38.15,F6,Henriette Chopping,2,N67890,3090.45
1002,3193,GUU,Mongolia,6/7/2023 18:37,China,10/10/2022,12.95,24,Armenia,886.62,45.62,E5,Mignonne Peperell,2,N12345,4177.52
1003,5991,HZV,Malaysia,6/7/2023 11:58,Greece,9/4/2022,7.76,73,China,78.31,42.15,F6,Tanya Coult,7,N12345,1179.22
1004,911,MXB,Uruguay,6/7/2023 00:44,Nicaragua,20/8/2022,13.01,64,Vietnam,975.68,38.98,D4,Anthony McKinty,6,NABCDE,1151.95
1005,9426,SOO,Peru,6/7/2023 14:39,Slovenia,24/9/2022,8.68,81,Mongolia,509.32,19.52,D4,Evy Clemenzi,7,N67890,3513.93
1006,4160,PSH,China,6/7/2023 03:35,China,27/8/2022,20.45,52,Switzerland,904.72,36.29,D4,Taylor Ballach,7,NABCDE,3039.29
1007,3069,HZH,Cambodia,6/7/2023 10:41,Sweden,19/3/2022,22.93,70,Sudan,338.41,14.08,E5,Tove MacGeaney,3,NABCDE,353.36
1008,5923,FCH,Brazil,6/7/2023 10:31,China,20/5/2022,23.62,27,China,815.73,12.44,D4,Frederique Reef,10,N12345,4875.94
1009,7445,KIP,Canada,6/7/2023 00:01,Dominican Republic,13/1/2022,22.62,48,China,912.96,3.0,D4,Tracy McMyler,1,NABCDE,3793.43
1010,9423,ARY,Mali,6/7/2023 06:35,Nigeria,13/7/2022,8.56,24,France,882.91,23.16,D4,Erwin Adamik,3,N12345,3116.84
1011,9710,XPP,Indonesia,6/7/2023 22:25,France,10/4/2022,11.4,94,Chile,137.15,46.45,E5,Tailor Oughton,8,N12345,3529.43
1012,7262,KBL,France,6/7/2023 03:33,Brazil,8/3/2022,16.43,66,Germany,988.2,35.59,F6,Leda McPartlin,2,N12345,4403.12
1013,6819,AEB,China,6/7/2023 00:17,Indonesia,22/8/2022,20.76,75,Switzerland,145.67,0.4,E5,Sansone Sandars,1,N67890,1799.16
1014,5525,CSX,Indonesia,6/7/2023 13:37,Bosnia and Herzegovina,16/8/2022,20.91,27,United States,999.53,22.73,E5,Keven Jurgenson,1,N67890,344.09
1015,3584,LGW,Wallis and Futuna,6/7/2023 15:28,Venezuela,15/10/2022,22.91,87,Philippines,264.39,32.72,D4,Ranna Fursland,9,N12345,2059.08
1016,5349,VDI,Djibouti,6/7/2023 23:51,United States,3/5/2022,23.8,26,Nigeria,348.88,26.46,E5,Meg Folk,4,N67890,1716.74
1017,9284,ADY,Portugal,6/7/2023 02:52,Indonesia,26/11/2022,13.43,60,Belarus,90.45,34.03,F6,Felike Fereday,6,NABCDE,4461.17
1018,4614,AXA,China,6/7/2023 15:41,Lithuania,29/7/2022,1.16,56,South Africa,945.66,23.59,E5,Frederica Nassie,6,N12345,1413.1
1019,4077,TFS,Croatia,6/7/2023 10:14,Indonesia,20/9/2022,19.56,96,China,207.65,23.81,F6,Tomasine Sleany,9,N12345,4650.5
1020,8548,FAA,Afghanistan,6/7/2023 17:21,China,29/7/2022,2.0,87,Indonesia,730.91,18.95,F6,Quincey Copcutt,2,N12345,3435.56
1021,1795,DAV,Russia,6/7/2023 19:21,Afghanistan,9/11/2022,13.29,24,Indonesia,795.57,46.33,E5,Catlin Bunny,10,NABCDE,1112.86
1022,1978,FUG,Indonesia,6/7/2023 21:08,Japan,14/6/2022,21.39,50,China,412.98,40.49,F6,Joy Kordas,4,N12345,3531.32
1023,2309,RHA,Indonesia,6/7/2023 04:47,Senegal,30/5/2022,1.11,21,Syria,89.51,30.65,F6,Alexine Perford,3,NABCDE,207.55
1024,3700,MVI,Indonesia,6/7/2023 03:28,Poland,19/3/2022,6.82,22,Mexico,296.61,26.3,D4,Rolfe Sadd,9,NABCDE,172.61
1025,5032,AQG,Macedonia,6/7/2023 18:23,Thailand,2/3/2022,8.43,49,Philippines,450.7,6.14,E5,Melitta Sivier,3,N67890,3809.76
1026,3261,MUM,Russia,6/7/2023 12:23,Indonesia,18/3/2022,4.74,52,China,706.09,42.02,F6,Shea Biesterfeld,5,N67890,1486.1
1027,1771,SDR,Indonesia,6/7/2023 06:26,Belarus,27/6/2022,20.14,64,China,128.92,6.2,E5,Hewet Chown,7,N67890,407.95
1028,5625,JBR,France,6/7/2023 13:42,Japan,17/2/2022,17.16,33,Bosnia and Herzegovina,272.59,33.62,D4,Hunter Opy,7,N67890,302.88
1029,2841,LNG,Indonesia,6/7/2023 14:42,Egypt,16/10/2022,1.13,49,Russia,849.76,34.53,F6,Karlik Wissbey,3,N67890,2191.29
1030,496,OJC,Sweden,6/7/2023 15:00,Philippines,20/9/2022,21.56,82,Belarus,905.28,20.75,E5,Tedda Joyson,5,N12345,4998.61
1031,5197,NAJ,France,6/7/2023 02:55,China,26/7/2022,12.17,39,Colombia,249.26,33.92,D4,Willow Pauler,7,N67890,2801.16
