flight_id,flight_number,departure_airport,departure_country,departure_time,arrival_country,arrival_date,flight_duration,passenger_age,passenger_nationality,ticket_price,baggage_weight,arrival_gate,pilot_name,cabin_crew_count,aircraft_registration,flight_distance
2001,6150,TAM,Russia,6/7/2023 17:28,Sweden,23/8/2022,14.79,68,Senegal,982.47,7.43,F6,Gordy Finessy,3,N67890,2905.35
2002,481,0,Belarus,6/7/2023 20:10,Brazil,18/2/2022,17.85,29,China,474.16,19.3,F6,Ernest Robbe,1,NABCDE,2007.26
2003,115,SWM,Brazil,6/7/2023 19:54,Portugal,27/10/2022,11.04,84,Brazil,701.09,7.03,E5,Karina Coveley,7,N12345,3716.09
2004,2190,INL,Vietnam,6/7/2023 08:09,Indonesia,27/8/2022,14.06,55,Peru,328.59,20.49,F6,Worden Hutchcraft,9,NABCDE,4402.55
2005,146,YUA,Venezuela,6/7/2023 15:30,Mauritius,14/1/2022,15.0,80,Philippines,357.2,25.66,F6,Ugo Tutin,7,N12345,2534.23
2006,347,CMI,Japan,6/7/2023 04:33,Pakistan,4/4/2022,17.26,89,Egypt,790.4,41.77,E5,Lucias Haswell,10,N67890,4070.81
2007,8287,NOP,Belarus,6/7/2023 13:15,Indonesia,5/7/2022,11.73,34,United States,471.23,3.73,E5,Norene Stoeck,5,N12345,4610.89
2008,7627,EVA,Azerbaijan,6/7/2023 23:46,China,26/5/2022,8.96,77,Canada,809.92,42.05,F6,Teriann Mugford,1,NABCDE,2663.78
2009,8084,JMK,China,6/7/2023 03:51,Philippines,27/4/2022,10.8,67,Slovenia,869.76,39.28,E5,Lavena Innerstone,7,N67890,3016.51
2010,9037,PBF,Mongolia,6/7/2023 09:13,Nigeria,30/12/2022,2.54,100,China,541.74,22.81,F6,Con Warlawe,7,N67890,1633.32
2011,4229,LDH,Brazil,6/7/2023 13:27,Czech Republic,19/9/2022,7.62,38,China,481.35,16.82,E5,Kissiah Giacomelli,5,NABCDE,3129.88
2012,4265,VPY,Argentina,6/7/2023 16:36,Syria,29/7/2022,22.31,92,Sweden,136.2,8.04,E5,Bronny Tuke,2,NABCDE,3375.1
2013,4368,RAF,Indonesia,6/7/2023 10:50,"Bonaire, Saint Eustatius and Saba ",25/9/2022,11.78,57,China,639.19,33.16,E5,Juline Minchinden,3,N12345,2380.44
2014,5955,CZX,Honduras,6/7/2023 08:23,Nigeria,13/3/2022,19.22,100,China,786.04,31.25,E5,Rianon Milkins,7,NABCDE,2841.42
2015,8703,LEA,France,6/7/2023 20:51,China,16/8/2022,20.12,34,China,441.04,44.61,E5,Evita Kegley,8,N12345,422.97
2016,9250,JAF,United States,6/7/2023 04:52,Japan,18/4/2022,22.33,38,China,874.39,5.8,F6,Paul Broggio,10,N67890,2530.48
